FID_Orig,longitude,latitude,education,income,povertylevel,pct_white,pct_black,pct_americanindianandalaskanativ,pct_asian,pct_nativehawaiianandotherpacifi,pct_someotherrace,pct_twoormoreraces,sale_year,parcel_distance,secchi,distance_shoreline,distance_nyc,distance_golf,distance_park,wateraccess,bayfront,waterhouse,parcel_area,parcel_length,fullbathrooms,totalbathrooms,totalbathroomsedited,totallivingarea,saleprice,.0025FMV,assessedvalue,valuedifference,soldmorethanonceinyear,soldmorethanonceovertheyears,saleacres,nmbofparcels,wqdistance,shorelinedistance,shorelinedistancedv3_1000,shorelinedistancedv1000_2000,shorelinedistancedv2000_3000,shorelinedistancedv3000_4000,wq_shorelinedistancecv,lnsecchi,lnsalesprice,lnsaleprice,wqshorelinedistancedv3_1000,wqshorelinedistancedv1000_2000,wqshorelinedistancedv2000_3000,wqshorelinedistancedv3000_4000,wqwateraccess,wqbayfront,wqwaterhouse,dv_2002,dv_2003,dv_2004,dv_2005,dv_2006,dv_2007,dv_2008,dv_2009,dv_2010,dv_2011,dv_2012,dv_2013,dv_2014,dv_2015
117613,-73.67979,40.67539,31.9465,130625,0,79.7386,5.55556,0,10.1307,0,0,4.57516,2013,3798.127,1.083333,3049.253,3916.081,3802.706,699.5818,0,0,0,5129.152,332.9103,1,1,1,1255,320000,808,323200,-3200,0,0,0.12,1,3303.357,4,0,0,0,1,4.333333,0.0800427,12.67608,12.67608,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40104,-73.67125,40.68021,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2015,4036.578,1,3028.274,4601.978,2907.386,1524.214,0,0,0,4050.61,282.3882,1,1,1,1326,420000,743,297200,122800,0,0,0.09,1,3028.274,4,0,0,0,1,4,0,12.94801,12.94801,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40104,-73.67125,40.68021,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2015,4036.578,1,3028.274,4601.978,2907.386,1524.214,0,0,0,4050.61,282.3882,1,1,1,1326,420000,743,297200,122800,0,0,0.09,1,3028.274,4,0,0,0,1,4,0,12.94801,12.94801,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42608,-73.67095,40.68091,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2014,4105.363,1.416667,3084.2,4627.595,2847.031,1541.782,0,0,0,6114.08,323.1487,1,1,1,1310,345000,865,346000,-1000,0,0,0.14,2,4369.284,4,0,0,0,1,5.666667,0.3483067,12.7513,12.7513,0,0,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106417,-73.66978,40.68122,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2013,4114.837,1.083333,3068.783,4726.893,2744.587,1578.531,0,0,0,3970.828,280.5124,1,1,1,1162,260000,718,287200,-27200,0,0,0.09,1,3324.515,4,0,0,0,1,4.333333,0.0800427,12.46844,12.46844,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
167713,-73.65633,40.67559,26.0536,104950,13.37047,5.84958,87.1866,0,6.96379,0,0,0,2014,3389.849,1.416667,2137.132,5886.279,2067.875,342.9548,0,0,0,6204.082,325.2824,1,2,1.5,1340,380000,929,371600,8400,0,0,0.14,1,3027.603,3,0,0,1,0,4.25,0.3483067,12.84793,12.84793,0,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46923,-73.67135,40.67979,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2014,3993.541,1.416667,2991.76,4593.806,2938.604,1522.218,0,0,0,4038.595,283.257,3,3,3,2131,343000,743,297200,45800,1,1,0.09,1,4238.326,3,0,0,1,0,4.25,0.3483067,12.74549,12.74549,0,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114565,-73.67047,40.67953,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2013,3946.719,1.083333,2930.071,4668.571,2890.486,1578.258,0,0,0,6102.003,322.4638,1,1,1,1571,475000,746,298400,176600,0,0,0.14,1,3174.243,3,0,0,1,0,3.25,0.0800427,13.07107,13.07107,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46924,-73.66902,40.6797,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2015,3936.734,1,2889.619,4790.637,2777.427,1464.63,0,0,0,4961.441,299.6867,1,2,1.5,1470,429000,857,342800,86200,0,0,0.12,1,2889.619,3,0,0,1,0,3,0,12.96921,12.96921,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46924,-73.66902,40.6797,59.4633,74286,4.261364,95.7386,0,0,4.26136,0,0,0,2015,3936.734,1,2889.619,4790.637,2777.427,1464.63,0,0,0,4961.441,299.6867,1,2,1.5,1470,429000,857,342800,86200,0,0,0.12,1,2889.619,3,0,0,1,0,3,0,12.96921,12.96921,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
